ciudad,Quito,Guayaquil,Cuenca,Ambato,Riobamba,Latacunga,Ibarra,Tulcan
Quito,0.0,266.01,301.74,113.84,160.11,78.73,78.59,146.46
Guayaquil,266.01,0.0,130.15,177.68,151.77,200.27,344.59,412.41
Cuenca,301.74,130.15,0.0,188.61,142.94,223.15,374.69,436.84
Ambato,113.84,177.68,188.61,0.0,46.27,35.29,186.3,249.99
Riobamba,160.11,151.77,142.94,46.27,0.0,81.49,231.77,294.26
Latacunga,78.73,200.27,223.15,35.29,81.49,0.0,152.87,218.02
Ibarra,78.59,344.59,374.69,186.3,231.77,152.87,0.0,68.13
Tulcan,146.46,412.41,436.84,249.99,294.26,218.02,68.13,0.0
